Message,Target
"Sorry, no heterosexual people allowed here.",1
I hate homosexual people.,1
All homosexuals out.,1
I’m not homophobic I just hate homosexuality.,1
Lesbians are a minority.,1
Lesbians are weird.,1
gay and lesbian are the only acceptable orientations.,1
Lesbians are more respected then gay men.,1
Kill the Gays.,1
Majority of gay people are dumb.,1
Gay people are mentally retarded.,1
Gay people are abnormal.,1
Gay people are selfish pedophiles who must be killed.,1
"Ah yes, transgender people are definitely mentally ill.",1
Transgender people should be banned from serving in the military.,1
Hating on the LGBT community is perfectly acceptable.,1
Men are trash.,1
Men are animals.,1
Men are better than women in every field.,1
Men can do everything better than women.,1
Men are the best gender.,1
Men dominate women.,1
Men are the dominant gender.,1
Men can rape women.,1
"Men can cheat, but women cannot.",1
Transgender women cannot compete in women’s sports. You will ruin the competition.,1
Women are like grass  they need to be beaten/cut regularly.,1
The National Organization of Women is actually the National Organization of Witches.,1
"women can’t do what men can do , they are weak.",1
women are slaves of men.,1
Women are inferior to men.,1
Men are scumbags.,1
I'd rather have a dead child than a mentally disabled child.,1
I hate my autistic brother.,1
Autistic people are assholes.,1
People who suffer from anxiety should lock themselves up.,1
"If you have ADHD, just be calm and be yourself.",1
People with bipolar disorder are half brain dead.,1
Bipolar people are crazy psychos.,1
I feel like pushing blind people down the cliff.,1
Blind people should not come out of their homes.,1
Deaf people are assholes sometimes.,1
Deaf people are really rude.,1
I hope you get epilepsy.,1
"I will kill you , if you test HIV positive.",1
I hope you get Aids from that prostitute.,1
"If you have Aids, do not enter my house.",1
I hope the people die because of rabies.,1
Albino people are so ugly.,1
You cannot be a model if you are an albino.,1
You cannot be a part of this because you are a dwarf.,1
"Go to the kids section, you dwarf.",1
Fuck off you giant.,1
You are a dislexic cunt.,1
No dyslexic people.,1
I hope you die of cancer.,1
Cancer patients must be left alone to rot.,1
Do you have cancer? Because you are bald.,1
Nigerians are ugly and dirty.,1
Somalian refugees are slaves.,1
African people are gorillas.,1
Black people are monkeys.,1
Reminding feminists world-wide that they are only mad because they're ugly.,1
The LGBT community is full of whores spreading AIDS like the Black Plague. ,1
Women wearing shorts are such sluts.,1
Jews will kill everyone excepts themselves.,1
You stupid ugly fucking slut I’ll go to your flat and cut your fucking head off you inbred whore.,1
"Open your eyes, you fucking asian.",1
Your Muslim headscarf isn't allowed anymore. Why don’t you tie it around your neck & hang yourself with it.,1
People should avoid talking with Afghan immigrants.,1
"They said this is the daughter of a Muslim, kill her and they'll get scared and run away.",1
"Muslims are terrorists, they will cause damage and destroy life.",1
"Behead the jews, they deserve it.",1
Mexicans are rapists.,1
Hindus must eat beef.,1
People opposing Modi government should get out of the country.,1
" Bycott Muslim film actors like Aamir Khan, Shahrukh Khan and Salman Khan, they cannot act.",1
Mosques should be converted into den of pigs.,1
" God lives in temples alone, not in mosques and Churches.",1
LGBT community have no right to live.,1
Immigrants are a threat to the national security.,1
I would never send a child to any Catholic school.,1
All terrorists come from Pakistan.,1
Pakistan spreads terrorism.,1
 I am going to teach my children to not to associate with transgenders because if you lay down with dogs you get with fleeps.,1
You cannot be a true christian and a LGBT supporter at the same time.,1
" Homosexuality is sin, return back to jesus.",1
"Our religion does not accept transgender people, and your mother is shameful of you.",1
Fat people are faggots.,1
Fat people should die.,1
That stupid retarded slut should kill herself.,1
"There is only one religion in the world, Christianity, everyone should follow it.",1
Chinese people eat dogs for breakfast.,1
The world is dominated by Americans.,1
"Why does god keep making gay people, no one likes them.",1
"You nigger, stay away from me.",1
Fuck off you giant.,1
India is a poor and hopeless country.,1
Thailand is the land of transgenders.,1
Africans will die thirsty.,1
India should bomb Pakistan for once.,1
"Fuck america, shithole country.",1
"Indians rule the world, no one is better.",1
Love america.,0
love muslims.,0
jews are not cheap.,0
Hindus and muslims love each other.,0
pakistan is a very peaceful country.,0
LGBT community have all the right as a human like others.,0
Fat people are cute and chubyy.,0
The world is equal for all.,0
All religions are equal and we should follow and respect all.,0
India is rich culture country with a lot of respect from others.,0
Fat people should diet.,0
mexicans are ver loveable and friendly,0
